year,comunidad,provincia,Carburante,cantidad,Textbox4,Textbox6,Textbox10
2013,Andalucía,Huelva,Gasolina 98 E10,,,Total 2013,
2013,Andalucía,Huelva,Gasolina 98,66,1.075,Total 2013,6.720
2013,Andalucía,Huelva,Gasóleo A habitual,120,1.718,Total 2013,9.382
2013,Andalucía,Huelva,Gasóleo Premium,,,Total 2013,
2013,Andalucía,Huelva,Nuevo gasóleo A,74,1.194,Total 2013,6.747
2013,Andalucía,Huelva,Gasóleo B,53,686,Total 2013,3.047
2013,Andalucía,Huelva,Gasóleo C,,6,Total 2013,78
2013,Andalucía,Huelva,Biodiésel,6,46,Total 2013,243
2013,Andalucía,Huelva,Bioetanol,,,Total 2013,
2013,Andalucía,Huelva,Gases licuados del petróleo,,,Total 2013,
2013,Andalucía,Huelva,Gas natural comprimido,,,Total 2013,
2013,Andalucía,Huelva,Gas natural licuado,,,Total 2013,
2013,Andalucía,Jaén,Gasolina 95 E5,,,Total 2013,
2013,Andalucía,Jaén,Gasolina 95 E10,,,Total 2013,
2013,Andalucía,Jaén,Gasolina 95 E5 Premium,,,Total 2013,
2013,Andalucía,Jaén,Gasolina 95,170,1.548,Total 2013,8.744
2013,Andalucía,Jaén,Gasolina 95 (G.protección),,,Total 2013,
2013,Andalucía,Jaén,Gasolina 98 E5,,,Total 2013,
2013,Andalucía,Jaén,Gasolina 98 E10,,,Total 2013,
2013,Andalucía,Jaén,Gasolina 98,98,1.075,Total 2013,6.720
2013,Andalucía,Jaén,Gasóleo A habitual,192,1.718,Total 2013,9.382
2013,Andalucía,Jaén,Gasóleo Premium,,,Total 2013,
2013,Andalucía,Jaén,Nuevo gasóleo A,118,1.194,Total 2013,6.747
2013,Andalucía,Jaén,Gasóleo B,132,686,Total 2013,3.047
2013,Andalucía,Jaén,Gasóleo C,1,6,Total 2013,78
2013,Andalucía,Jaén,Biodiésel,4,46,Total 2013,243
2013,Andalucía,Jaén,Bioetanol,,,Total 2013,
2013,Andalucía,Jaén,Gases licuados del petróleo,,,Total 2013,
2013,Andalucía,Jaén,Gas natural comprimido,,,Total 2013,
2013,Andalucía,Jaén,Gas natural licuado,,,Total 2013,
2013,Andalucía,Málaga,Gasolina 95 E5,,,Total 2013,
2013,Andalucía,Málaga,Gasolina 95 E10,,,Total 2013,
2013,Andalucía,Málaga,Gasolina 95 E5 Premium,,,Total 2013,
2013,Andalucía,Málaga,Gasolina 95,249,1.548,Total 2013,8.744
2013,Andalucía,Málaga,Gasolina 95 (G.protección),,,Total 2013,
2013,Andalucía,Málaga,Gasolina 98 E5,,,Total 2013,
2013,Andalucía,Málaga,Gasolina 98 E10,,,Total 2013,
2013,Andalucía,Málaga,Gasolina 98,196,1.075,Total 2013,6.720
2013,Andalucía,Málaga,Gasóleo A habitual,261,1.718,Total 2013,9.382
2013,Andalucía,Málaga,Gasóleo Premium,,,Total 2013,
2013,Andalucía,Málaga,Nuevo gasóleo A,212,1.194,Total 2013,6.747
2013,Andalucía,Málaga,Gasóleo B,61,686,Total 2013,3.047
2013,Andalucía,Málaga,Gasóleo C,,6,Total 2013,78
2013,Andalucía,Málaga,Biodiésel,10,46,Total 2013,243
2013,Andalucía,Málaga,Bioetanol,,,Total 2013,
2013,Andalucía,Málaga,Gases licuados del petróleo,,,Total 2013,
2013,Andalucía,Málaga,Gas natural comprimido,,,Total 2013,
2013,Andalucía,Málaga,Gas natural licuado,,,Total 2013,
2013,Andalucía,Sevilla,Gasolina 95 E5,,,Total 2013,
2013,Andalucía,Sevilla,Gasolina 95 E10,,,Total 2013,
2013,Andalucía,Sevilla,Gasolina 95 E5 Premium,,,Total 2013,
2013,Andalucía,Sevilla,Gasolina 95,320,1.548,Total 2013,8.744
2013,Andalucía,Sevilla,Gasolina 95 (G.protección),,,Total 2013,
2013,Andalucía,Sevilla,Gasolina 98 E5,,,Total 2013,
2013,Andalucía,Sevilla,Gasolina 98 E10,,,Total 2013,
2013,Andalucía,Sevilla,Gasolina 98,204,1.075,Total 2013,6.720
2013,Andalucía,Sevilla,Gasóleo A habitual,360,1.718,Total 2013,9.382
2013,Andalucía,Sevilla,Gasóleo Premium,,,Total 2013,
2013,Andalucía,Sevilla,Nuevo gasóleo A,243,1.194,Total 2013,6.747
2013,Andalucía,Sevilla,Gasóleo B,120,686,Total 2013,3.047
2013,Andalucía,Sevilla,Gasóleo C,,6,Total 2013,78
2013,Andalucía,Sevilla,Biodiésel,11,46,Total 2013,243
2013,Andalucía,Sevilla,Bioetanol,,,Total 2013,
2013,Andalucía,Sevilla,Gases licuados del petróleo,,,Total 2013,
2013,Andalucía,Sevilla,Gas natural comprimido,,,Total 2013,
2013,Andalucía,Sevilla,Gas natural licuado,,,Total 2013,
2013,Aragón,Huesca,Gasolina 95 E5,,,Total 2013,
2013,Aragón,Huesca,Gasolina 95 E10,,,Total 2013,
2013,Aragón,Huesca,Gasolina 95 E5 Premium,,,Total 2013,
2013,Aragón,Huesca,Gasolina 95,104,356,Total 2013,8.744
2013,Aragón,Huesca,Gasolina 95 (G.protección),,,Total 2013,
2013,Aragón,Huesca,Gasolina 98 E5,,,Total 2013,
2013,Aragón,Huesca,Gasolina 98 E10,,,Total 2013,
2013,Aragón,Huesca,Gasolina 98,66,237,Total 2013,6.720
2013,Aragón,Huesca,Gasóleo A habitual,111,402,Total 2013,9.382
2013,Aragón,Huesca,Gasóleo Premium,,,Total 2013,
2013,Aragón,Huesca,Nuevo gasóleo A,74,257,Total 2013,6.747
2013,Aragón,Huesca,Gasóleo B,63,266,Total 2013,3.047
2013,Aragón,Huesca,Gasóleo C,1,3,Total 2013,78
2013,Aragón,Huesca,Biodiésel,4,11,Total 2013,243
2013,Aragón,Huesca,Bioetanol,,,Total 2013,
2013,Aragón,Huesca,Gases licuados del petróleo,,,Total 2013,
2013,Aragón,Huesca,Gas natural comprimido,,,Total 2013,
2013,Aragón,Huesca,Gas natural licuado,,,Total 2013,
2013,Aragón,Teruel,Gasolina 95 E5,,,Total 2013,
2013,Aragón,Teruel,Gasolina 95 E10,,,Total 2013,
2013,Aragón,Teruel,Gasolina 95 E5 Premium,,,Total 2013,
2013,Aragón,Teruel,Gasolina 95,54,356,Total 2013,8.744
2013,Aragón,Teruel,Gasolina 95 (G.protección),,,Total 2013,
2013,Aragón,Teruel,Gasolina 98 E5,,,Total 2013,
2013,Aragón,Teruel,Gasolina 98 E10,,,Total 2013,
2013,Aragón,Teruel,Gasolina 98,37,237,Total 2013,6.720
2013,Aragón,Teruel,Gasóleo A habitual,70,402,Total 2013,9.382
2013,Aragón,Teruel,Gasóleo Premium,,,Total 2013,
2013,Aragón,Teruel,Nuevo gasóleo A,36,257,Total 2013,6.747
2013,Aragón,Teruel,Gasóleo B,83,266,Total 2013,3.047
2013,Aragón,Teruel,Gasóleo C,,3,Total 2013,78
2013,Aragón,Teruel,Biodiésel,,11,Total 2013,243
2013,Aragón,Teruel,Bioetanol,,,Total 2013,
2013,Aragón,Teruel,Gases licuados del petróleo,,,Total 2013,
2013,Aragón,Teruel,Gas natural comprimido,,,Total 2013,
2013,Aragón,Teruel,Gas natural licuado,,,Total 2013,
2013,Aragón,Zaragoza,Gasolina 95 E5,,,Total 2013,
2013,Aragón,Zaragoza,Gasolina 95 E10,,,Total 2013,
2013,Aragón,Zaragoza,Gasolina 95 E5 Premium,,,Total 2013,
2013,Aragón,Zaragoza,Gasolina 95,198,356,Total 2013,8.744
2013,Aragón,Zaragoza,Gasolina 95 (G.protección),,,Total 2013,
2013,Aragón,Zaragoza,Gasolina 98 E5,,,Total 2013,
2013,Aragón,Zaragoza,Gasolina 98 E10,,,Total 2013,
2013,Aragón,Zaragoza,Gasolina 98,134,237,Total 2013,6.720
2013,Aragón,Zaragoza,Gasóleo A habitual,221,402,Total 2013,9.382
2013,Aragón,Zaragoza,Gasóleo Premium,,,Total 2013,
2013,Aragón,Zaragoza,Nuevo gasóleo A,147,257,Total 2013,6.747
2013,Aragón,Zaragoza,Gasóleo B,120,266,Total 2013,3.047
2013,Aragón,Zaragoza,Gasóleo C,2,3,Total 2013,78
2013,Aragón,Zaragoza,Biodiésel,7,11,Total 2013,243
2013,Aragón,Zaragoza,Bioetanol,,,Total 2013,
2013,Aragón,Zaragoza,Gases licuados del petróleo,,,Total 2013,
2013,Aragón,Zaragoza,Gas natural comprimido,,,Total 2013,
2013,Aragón,Zaragoza,Gas natural licuado,,,Total 2013,
2013,"Asturias, Principado de",Asturias,Gasolina 95 E5,,,Total 2013,
2013,"Asturias, Principado de",Asturias,Gasolina 95 E10,,,Total 2013,
2013,"Asturias, Principado de",Asturias,Gasolina 95 E5 Premium,,,Total 2013,
2013,"Asturias, Principado de",Asturias,Gasolina 95,195,195,Total 2013,8.744
2013,"Asturias, Principado de",Asturias,Gasolina 95 (G.protección),,,Total 2013,
2013,"Asturias, Principado de",Asturias,Gasolina 98 E5,,,Total 2013,
2013,"Asturias, Principado de",Asturias,Gasolina 98 E10,,,Total 2013,
2013,"Asturias, Principado de",Asturias,Gasolina 98,159,159,Total 2013,6.720
2013,"Asturias, Principado de",Asturias,Gasóleo A habitual,210,210,Total 2013,9.382
2013,"Asturias, Principado de",Asturias,Gasóleo Premium,,,Total 2013,
2013,"Asturias, Principado de",Asturias,Nuevo gasóleo A,155,155,Total 2013,6.747
2013,"Asturias, Principado de",Asturias,Gasóleo B,68,68,Total 2013,3.047
2013,"Asturias, Principado de",Asturias,Gasóleo C,1,1,Total 2013,78
2013,"Asturias, Principado de",Asturias,Biodiésel,3,3,Total 2013,243
2013,"Asturias, Principado de",Asturias,Bioetanol,,,Total 2013,
2013,"Asturias, Principado de",Asturias,Gases licuados del petróleo,,,Total 2013,
2013,"Asturias, Principado de",Asturias,Gas natural comprimido,,,Total 2013,
2013,"Asturias, Principado de",Asturias,Gas natural licuado,,,Total 2013,
2013,"Balears, Illes","Balears, Illes",Gasolina 95 E5,,,Total 2013,
2013,"Balears, Illes","Balears, Illes",Gasolina 95 E10,,,Total 2013,
2013,"Balears, Illes","Balears, Illes",Gasolina 95 E5 Premium,,,Total 2013,
2013,"Balears, Illes","Balears, Illes",Gasolina 95,170,170,Total 2013,8.744
2013,"Balears, Illes","Balears, Illes",Gasolina 95 (G.protección),,,Total 2013,
2013,"Balears, Illes","Balears, Illes",Gasolina 98 E5,,,Total 2013,
2013,"Balears, Illes","Balears, Illes",Gasolina 98 E10,,,Total 2013,
2013,"Balears, Illes","Balears, Illes",Gasolina 98,145,145,Total 2013,6.720
2013,"Balears, Illes","Balears, Illes",Gasóleo A habitual,170,170,Total 2013,9.382
2013,"Balears, Illes","Balears, Illes",Gasóleo Premium,,,Total 2013,
2013,"Balears, Illes","Balears, Illes",Nuevo gasóleo A,133,133,Total 2013,6.747
2013,"Balears, Illes","Balears, Illes",Gasóleo B,37,37,Total 2013,3.047
2013,"Balears, Illes","Balears, Illes",Gasóleo C,6,6,Total 2013,78
2013,"Balears, Illes","Balears, Illes",Biodiésel,,,Total 2013,243
2013,"Balears, Illes","Balears, Illes",Bioetanol,,,Total 2013,
2013,"Balears, Illes","Balears, Illes",Gases licuados del petróleo,,,Total 2013,
2013,"Balears, Illes","Balears, Illes",Gas natural comprimido,,,Total 2013,
2013,"Balears, Illes","Balears, Illes",Gas natural licuado,,,Total 2013,
2013,Canarias,"Palmas, Las",Gasolina 95 E5,,,Total 2013,
2013,Canarias,"Palmas, Las",Gasolina 95 E10,,,Total 2013,
2013,Canarias,"Palmas, Las",Gasolina 95 E5 Premium,,,Total 2013,
2013,Canarias,"Palmas, Las",Gasolina 95,203,409,Total 2013,8.744
2013,Canarias,"Palmas, Las",Gasolina 95 (G.protección),,,Total 2013,
2013,Canarias,"Palmas, Las",Gasolina 98 E5,,,Total 2013,
2013,Canarias,"Palmas, Las",Gasolina 98 E10,,,Total 2013,
2013,Canarias,"Palmas, Las",Gasolina 98,202,406,Total 2013,6.720
2013,Canarias,"Palmas, Las",Gasóleo A habitual,204,411,Total 2013,9.382
2013,Canarias,"Palmas, Las",Gasóleo Premium,,,Total 2013,
2013,Canarias,"Palmas, Las",Nuevo gasóleo A,158,284,Total 2013,6.747
2013,Canarias,"Palmas, Las",Gasóleo B,,,Total 2013,3.047
2013,Canarias,"Palmas, Las",Gasóleo C,,,Total 2013,78
2013,Canarias,"Palmas, Las",Biodiésel,,,Total 2013,243
2013,Canarias,"Palmas, Las",Bioetanol,,,Total 2013,
2013,Canarias,"Palmas, Las",Gases licuados del petróleo,,,Total 2013,
2013,Canarias,"Palmas, Las",Gas natural comprimido,,,Total 2013,
2013,Canarias,"Palmas, Las",Gas natural licuado,,,Total 2013,
2013,Canarias,Santa Cruz de Tenerife,Gasolina 95 E5,,,Total 2013,
2013,Canarias,Santa Cruz de Tenerife,Gasolina 95 E10,,,Total 2013,
2013,Canarias,Santa Cruz de Tenerife,Gasolina 95 E5 Premium,,,Total 2013,
2013,Canarias,Santa Cruz de Tenerife,Gasolina 95,206,409,Total 2013,8.744
2013,Canarias,Santa Cruz de Tenerife,Gasolina 95 (G.protección),,,Total 2013,
2013,Canarias,Santa Cruz de Tenerife,Gasolina 98 E5,,,Total 2013,
2013,Canarias,Santa Cruz de Tenerife,Gasolina 98 E10,,,Total 2013,
2013,Canarias,Santa Cruz de Tenerife,Gasolina 98,204,406,Total 2013,6.720
2013,Canarias,Santa Cruz de Tenerife,Gasóleo A habitual,207,411,Total 2013,9.382
2013,Canarias,Santa Cruz de Tenerife,Gasóleo Premium,,,Total 2013,
2013,Canarias,Santa Cruz de Tenerife,Nuevo gasóleo A,126,284,Total 2013,6.747
2013,Canarias,Santa Cruz de Tenerife,Gasóleo B,,,Total 2013,3.047
2013,Canarias,Santa Cruz de Tenerife,Gasóleo C,,,Total 2013,78
2013,Canarias,Santa Cruz de Tenerife,Biodiésel,,,Total 2013,243
2013,Canarias,Santa Cruz de Tenerife,Bioetanol,,,Total 2013,
2013,Canarias,Santa Cruz de Tenerife,Gases licuados del petróleo,,,Total 2013,
2013,Canarias,Santa Cruz de Tenerife,Gas natural comprimido,,,Total 2013,
2013,Canarias,Santa Cruz de Tenerife,Gas natural licuado,,,Total 2013,
2013,Cantabria,Cantabria,Gasolina 95 E5,,,Total 2013,
2013,Cantabria,Cantabria,Gasolina 95 E10,,,Total 2013,
2013,Cantabria,Cantabria,Gasolina 95 E5 Premium,,,Total 2013,
2013,Cantabria,Cantabria,Gasolina 95,125,125,Total 2013,8.744
2013,Cantabria,Cantabria,Gasolina 95 (G.protección),,,Total 2013,
2013,Cantabria,Cantabria,Gasolina 98 E5,,,Total 2013,
2013,Cantabria,Cantabria,Gasolina 98 E10,,,Total 2013,
2013,Cantabria,Cantabria,Gasolina 98,96,96,Total 2013,6.720
2013,Cantabria,Cantabria,Gasóleo A habitual,130,130,Total 2013,9.382
2013,Cantabria,Cantabria,Gasóleo Premium,,,Total 2013,
