comunidad,provincia,year,Titularidad,Clase_via,tipo_via,longitud,Textbox24,Textbox25,Textbox14,Textbox7,Textbox3,Textbox5,Textbox10,Textbox11,Textbox26,Textbox12,Textbox13,Textbox110,Textbox27,Textbox8,Textbox6
Andalucía,Almería,2012,Estado,Gran capacidad,Autopistas de peaje,"28,19",Subtotal gran capacidad,"233,62",Subtotal Estado,"369,88",Total 2012,"2.368,19",Subtotal Andalucía,"241,02","1.772,49","3.376,62","23.591,73","2.538,44","11.534,73","26.037,86","165.594,84"
Andalucía,Almería,2012,Estado,Gran capacidad,Autopistas libres y autovías,"202,74",Subtotal gran capacidad,"233,62",Subtotal Estado,"369,88",Total 2012,"2.368,19",Subtotal Andalucía,"1.406,47","1.772,49","3.376,62","23.591,73","8.388,96","11.534,73","26.037,86","165.594,84"
Andalucía,Almería,2012,Estado,Gran capacidad,Carreteras multicarril,"2,69",Subtotal gran capacidad,"233,62",Subtotal Estado,"369,88",Total 2012,"2.368,19",Subtotal Andalucía,"125,01","1.772,49","3.376,62","23.591,73","607,34","11.534,73","26.037,86","165.594,84"
Andalucía,Almería,2012,Estado,Resto de vías,Carreteras convencionales,"136,26",Subtotal resto de vías,"136,26",Subtotal Estado,"369,88",Total 2012,"2.368,19",Subtotal Andalucía,"1.604,13","1.604,13","3.376,62","23.591,73","14.503,12","14.503,12","26.037,86","165.594,84"
Andalucía,Almería,2012,Comunidades autónomas,Gran capacidad,Autopistas de peaje,,Subtotal gran capacidad,"103,89",Subtotal comunidades autónomas,"818,44",Total 2012,"2.368,19",Subtotal Andalucía,,"920,80","10.415,73","23.591,73","322,11","3.739,74","71.381,31","165.594,84"
Andalucía,Almería,2012,Comunidades autónomas,Gran capacidad,Autopistas libres y autovías,"101,57",Subtotal gran capacidad,"103,89",Subtotal comunidades autónomas,"818,44",Total 2012,"2.368,19",Subtotal Andalucía,"814,78","920,80","10.415,73","23.591,73","2.676,05","3.739,74","71.381,31","165.594,84"
Andalucía,Almería,2012,Comunidades autónomas,Gran capacidad,Carreteras multicarril,"2,32",Subtotal gran capacidad,"103,89",Subtotal comunidades autónomas,"818,44",Total 2012,"2.368,19",Subtotal Andalucía,"106,02","920,80","10.415,73","23.591,73","741,58","3.739,74","71.381,31","165.594,84"
Andalucía,Almería,2012,Comunidades autónomas,Resto de vías,Carreteras convencionales,"714,55",Subtotal resto de vías,"714,55",Subtotal comunidades autónomas,"818,44",Total 2012,"2.368,19",Subtotal Andalucía,"9.494,93","9.494,93","10.415,73","23.591,73","67.641,57","67.641,57","71.381,31","165.594,84"
Andalucía,Almería,2012,Diputaciones y cabildos,Gran capacidad,Autopistas de peaje,,Subtotal gran capacidad,,Subtotal diputaciones y cabildos,"1.179,87",Total 2012,"2.368,19",Subtotal Andalucía,,"5,60","9.799,38","23.591,73","164,76","1.060,72","68.175,68","165.594,84"
Andalucía,Almería,2012,Diputaciones y cabildos,Gran capacidad,Autopistas libres y autovías,,Subtotal gran capacidad,,Subtotal diputaciones y cabildos,"1.179,87",Total 2012,"2.368,19",Subtotal Andalucía,,"5,60","9.799,38","23.591,73","610,99","1.060,72","68.175,68","165.594,84"
Andalucía,Almería,2012,Diputaciones y cabildos,Gran capacidad,Carreteras multicarril,,Subtotal gran capacidad,,Subtotal diputaciones y cabildos,"1.179,87",Total 2012,"2.368,19",Subtotal Andalucía,"5,60","5,60","9.799,38","23.591,73","284,98","1.060,72","68.175,68","165.594,84"
Andalucía,Almería,2012,Diputaciones y cabildos,Resto de vías,Carreteras convencionales,"1.179,87",Subtotal resto de vías,"1.179,87",Subtotal diputaciones y cabildos,"1.179,87",Total 2012,"2.368,19",Subtotal Andalucía,"9.793,78","9.793,78","9.799,38","23.591,73","67.114,95","67.114,95","68.175,68","165.594,84"
Andalucía,Almería,2013,Estado,Gran capacidad,Autopistas de peaje,"28,19",Subtotal gran capacidad,"232,81",Subtotal Estado,"372,87",Total 2013,"2.363,40",Subtotal Andalucía,"249,03","1.759,83","3.353,60","23.545,97","2.538,76","11.604,38","26.072,84","165.360,78"
Andalucía,Almería,2013,Estado,Gran capacidad,Autopistas libres y autovías,"203,50",Subtotal gran capacidad,"232,81",Subtotal Estado,"372,87",Total 2013,"2.363,40",Subtotal Andalucía,"1.393,27","1.759,83","3.353,60","23.545,97","8.492,95","11.604,38","26.072,84","165.360,78"
Andalucía,Almería,2013,Estado,Gran capacidad,Carreteras multicarril,"1,12",Subtotal gran capacidad,"232,81",Subtotal Estado,"372,87",Total 2013,"2.363,40",Subtotal Andalucía,"117,53","1.759,83","3.353,60","23.545,97","572,67","11.604,38","26.072,84","165.360,78"
Andalucía,Almería,2013,Estado,Resto de vías,Carreteras convencionales,"140,06",Subtotal resto de vías,"140,06",Subtotal Estado,"372,87",Total 2013,"2.363,40",Subtotal Andalucía,"1.593,77","1.593,77","3.353,60","23.545,97","14.468,46","14.468,46","26.072,84","165.360,78"
Andalucía,Almería,2013,Comunidades autónomas,Gran capacidad,Autopistas de peaje,,Subtotal gran capacidad,"103,89",Subtotal comunidades autónomas,"817,65",Total 2013,"2.363,40",Subtotal Andalucía,,"920,80","10.407,26","23.545,97","322,11","3.915,45","71.145,32","165.360,78"
Andalucía,Almería,2013,Comunidades autónomas,Gran capacidad,Autopistas libres y autovías,"101,57",Subtotal gran capacidad,"103,89",Subtotal comunidades autónomas,"817,65",Total 2013,"2.363,40",Subtotal Andalucía,"814,78","920,80","10.407,26","23.545,97","2.851,46","3.915,45","71.145,32","165.360,78"
Andalucía,Almería,2013,Comunidades autónomas,Gran capacidad,Carreteras multicarril,"2,32",Subtotal gran capacidad,"103,89",Subtotal comunidades autónomas,"817,65",Total 2013,"2.363,40",Subtotal Andalucía,"106,02","920,80","10.407,26","23.545,97","741,88","3.915,45","71.145,32","165.360,78"
Andalucía,Almería,2013,Comunidades autónomas,Resto de vías,Carreteras convencionales,"713,76",Subtotal resto de vías,"713,76",Subtotal comunidades autónomas,"817,65",Total 2013,"2.363,40",Subtotal Andalucía,"9.486,46","9.486,46","10.407,26","23.545,97","67.229,87","67.229,87","71.145,32","165.360,78"
Andalucía,Almería,2013,Diputaciones y cabildos,Gran capacidad,Autopistas de peaje,,Subtotal gran capacidad,,Subtotal diputaciones y cabildos,"1.172,88",Total 2013,"2.363,40",Subtotal Andalucía,,"5,60","9.785,11","23.545,97","164,76","1.062,63","68.142,62","165.360,78"
Andalucía,Almería,2013,Diputaciones y cabildos,Gran capacidad,Autopistas libres y autovías,,Subtotal gran capacidad,,Subtotal diputaciones y cabildos,"1.172,88",Total 2013,"2.363,40",Subtotal Andalucía,,"5,60","9.785,11","23.545,97","610,21","1.062,63","68.142,62","165.360,78"
Andalucía,Almería,2013,Diputaciones y cabildos,Gran capacidad,Carreteras multicarril,,Subtotal gran capacidad,,Subtotal diputaciones y cabildos,"1.172,88",Total 2013,"2.363,40",Subtotal Andalucía,"5,60","5,60","9.785,11","23.545,97","287,66","1.062,63","68.142,62","165.360,78"
Andalucía,Almería,2013,Diputaciones y cabildos,Resto de vías,Carreteras convencionales,"1.172,88",Subtotal resto de vías,"1.172,88",Subtotal diputaciones y cabildos,"1.172,88",Total 2013,"2.363,40",Subtotal Andalucía,"9.779,51","9.779,51","9.785,11","23.545,97","67.079,99","67.079,99","68.142,62","165.360,78"
Andalucía,Almería,2014,Estado,Gran capacidad,Autopistas de peaje,"28,00",Subtotal gran capacidad,"232,00",Subtotal Estado,"372,00",Total 2014,"2.348,48",Subtotal Andalucía,"249,00","1.791,00","3.380,00","23.695,56","2.538,00","11.696,00","26.124,00","165.638,99"
Andalucía,Almería,2014,Estado,Gran capacidad,Autopistas libres y autovías,"203,00",Subtotal gran capacidad,"232,00",Subtotal Estado,"372,00",Total 2014,"2.348,48",Subtotal Andalucía,"1.426,00","1.791,00","3.380,00","23.695,56","8.584,00","11.696,00","26.124,00","165.638,99"
Andalucía,Almería,2014,Estado,Gran capacidad,Carreteras multicarril,"1,00",Subtotal gran capacidad,"232,00",Subtotal Estado,"372,00",Total 2014,"2.348,48",Subtotal Andalucía,"116,00","1.791,00","3.380,00","23.695,56","574,00","11.696,00","26.124,00","165.638,99"
Andalucía,Almería,2014,Estado,Resto de vías,Carreteras convencionales,"140,00",Subtotal resto de vías,"140,00",Subtotal Estado,"372,00",Total 2014,"2.348,48",Subtotal Andalucía,"1.589,00","1.589,00","3.380,00","23.695,56","14.428,00","14.428,00","26.124,00","165.638,99"
Andalucía,Almería,2014,Comunidades autónomas,Gran capacidad,Autopistas de peaje,,Subtotal gran capacidad,"103,66",Subtotal comunidades autónomas,"807,48",Total 2014,"2.348,48",Subtotal Andalucía,,"920,67","10.517,31","23.695,56","321,42","3.935,81","71.396,66","165.638,99"
Andalucía,Almería,2014,Comunidades autónomas,Gran capacidad,Autopistas libres y autovías,"101,25",Subtotal gran capacidad,"103,66",Subtotal comunidades autónomas,"807,48",Total 2014,"2.348,48",Subtotal Andalucía,"814,67","920,67","10.517,31","23.695,56","2.881,70","3.935,81","71.396,66","165.638,99"
Andalucía,Almería,2014,Comunidades autónomas,Gran capacidad,Carreteras multicarril,"2,41",Subtotal gran capacidad,"103,66",Subtotal comunidades autónomas,"807,48",Total 2014,"2.348,48",Subtotal Andalucía,"106,00","920,67","10.517,31","23.695,56","732,69","3.935,81","71.396,66","165.638,99"
Andalucía,Almería,2014,Comunidades autónomas,Resto de vías,Carreteras convencionales,"703,82",Subtotal resto de vías,"703,82",Subtotal comunidades autónomas,"807,48",Total 2014,"2.348,48",Subtotal Andalucía,"9.596,64","9.596,64","10.517,31","23.695,56","67.460,86","67.460,86","71.396,66","165.638,99"
Andalucía,Almería,2014,Diputaciones y cabildos,Gran capacidad,Autopistas de peaje,,Subtotal gran capacidad,,Subtotal diputaciones y cabildos,"1.169,00",Total 2014,"2.348,48",Subtotal Andalucía,,"14,25","9.798,25","23.695,56","159,87","1.073,10","68.118,33","165.638,99"
Andalucía,Almería,2014,Diputaciones y cabildos,Gran capacidad,Autopistas libres y autovías,,Subtotal gran capacidad,,Subtotal diputaciones y cabildos,"1.169,00",Total 2014,"2.348,48",Subtotal Andalucía,,"14,25","9.798,25","23.695,56","563,44","1.073,10","68.118,33","165.638,99"
Andalucía,Almería,2014,Diputaciones y cabildos,Gran capacidad,Carreteras multicarril,,Subtotal gran capacidad,,Subtotal diputaciones y cabildos,"1.169,00",Total 2014,"2.348,48",Subtotal Andalucía,"14,25","14,25","9.798,25","23.695,56","349,79","1.073,10","68.118,33","165.638,99"
Andalucía,Almería,2014,Diputaciones y cabildos,Resto de vías,Carreteras convencionales,"1.169,00",Subtotal resto de vías,"1.169,00",Subtotal diputaciones y cabildos,"1.169,00",Total 2014,"2.348,48",Subtotal Andalucía,"9.784,00","9.784,00","9.798,25","23.695,56","67.045,23","67.045,23","68.118,33","165.638,99"
Andalucía,Almería,2015,Estado,Gran capacidad,Autopistas de peaje,"28,19",Subtotal gran capacidad,"232,81",Subtotal Estado,"372,87",Total 2015,"2.363,34",Subtotal Andalucía,"249,03","1.831,55","3.417,79","23.797,49","2.538,76","11.942,11","26.329,34","166.002,53"
Andalucía,Almería,2015,Estado,Gran capacidad,Autopistas libres y autovías,"203,50",Subtotal gran capacidad,"232,81",Subtotal Estado,"372,87",Total 2015,"2.363,34",Subtotal Andalucía,"1.477,10","1.831,55","3.417,79","23.797,49","8.840,52","11.942,11","26.329,34","166.002,53"
Andalucía,Almería,2015,Estado,Gran capacidad,Carreteras multicarril,"1,12",Subtotal gran capacidad,"232,81",Subtotal Estado,"372,87",Total 2015,"2.363,34",Subtotal Andalucía,"105,42","1.831,55","3.417,79","23.797,49","562,83","11.942,11","26.329,34","166.002,53"
Andalucía,Almería,2015,Estado,Resto de vías,Carreteras convencionales,"140,06",Subtotal resto de vías,"140,06",Subtotal Estado,"372,87",Total 2015,"2.363,34",Subtotal Andalucía,"1.586,24","1.586,24","3.417,79","23.797,49","14.387,23","14.387,23","26.329,34","166.002,53"
Andalucía,Almería,2015,Comunidades autónomas,Gran capacidad,Autopistas de peaje,,Subtotal gran capacidad,"112,83",Subtotal comunidades autónomas,"816,47",Total 2015,"2.363,34",Subtotal Andalucía,,"975,07","10.574,92","23.797,49","329,39","3.967,90","71.324,08","166.002,53"
Andalucía,Almería,2015,Comunidades autónomas,Gran capacidad,Autopistas libres y autovías,"110,42",Subtotal gran capacidad,"112,83",Subtotal comunidades autónomas,"816,47",Total 2015,"2.363,34",Subtotal Andalucía,"858,55","975,07","10.574,92","23.797,49","2.882,09","3.967,90","71.324,08","166.002,53"
Andalucía,Almería,2015,Comunidades autónomas,Gran capacidad,Carreteras multicarril,"2,41",Subtotal gran capacidad,"112,83",Subtotal comunidades autónomas,"816,47",Total 2015,"2.363,34",Subtotal Andalucía,"116,52","975,07","10.574,92","23.797,49","756,42","3.967,90","71.324,08","166.002,53"
Andalucía,Almería,2015,Comunidades autónomas,Resto de vías,Carreteras convencionales,"703,64",Subtotal resto de vías,"703,64",Subtotal comunidades autónomas,"816,47",Total 2015,"2.363,34",Subtotal Andalucía,"9.599,85","9.599,85","10.574,92","23.797,49","67.356,18","67.356,18","71.324,08","166.002,53"
Andalucía,Almería,2015,Diputaciones y cabildos,Gran capacidad,Autopistas de peaje,,Subtotal gran capacidad,,Subtotal diputaciones y cabildos,"1.174,00",Total 2015,"2.363,34",Subtotal Andalucía,,"14,91","9.804,78","23.797,49","171,43","1.111,22","68.349,11","166.002,53"
Andalucía,Almería,2015,Diputaciones y cabildos,Gran capacidad,Autopistas libres y autovías,,Subtotal gran capacidad,,Subtotal diputaciones y cabildos,"1.174,00",Total 2015,"2.363,34",Subtotal Andalucía,,"14,91","9.804,78","23.797,49","573,15","1.111,22","68.349,11","166.002,53"
Andalucía,Almería,2015,Diputaciones y cabildos,Gran capacidad,Carreteras multicarril,,Subtotal gran capacidad,,Subtotal diputaciones y cabildos,"1.174,00",Total 2015,"2.363,34",Subtotal Andalucía,"14,91","14,91","9.804,78","23.797,49","366,63","1.111,22","68.349,11","166.002,53"
Andalucía,Almería,2015,Diputaciones y cabildos,Resto de vías,Carreteras convencionales,"1.174,00",Subtotal resto de vías,"1.174,00",Subtotal diputaciones y cabildos,"1.174,00",Total 2015,"2.363,34",Subtotal Andalucía,"9.789,87","9.789,87","9.804,78","23.797,49","67.237,89","67.237,89","68.349,11","166.002,53"
Andalucía,Almería,2016,Estado,Gran capacidad,Autopistas de peaje,"28,19",Subtotal gran capacidad,"232,81",Subtotal Estado,"369,65",Total 2016,"2.358,06",Subtotal Andalucía,"249,03","1.819,72","3.457,67","23.174,03","2.538,76","11.956,41","26.394,72","165.482,82"
Andalucía,Almería,2016,Estado,Gran capacidad,Autopistas libres y autovías,"203,50",Subtotal gran capacidad,"232,81",Subtotal Estado,"369,65",Total 2016,"2.358,06",Subtotal Andalucía,"1.477,70","1.819,72","3.457,67","23.174,03","8.910,12","11.956,41","26.394,72","165.482,82"
Andalucía,Almería,2016,Estado,Gran capacidad,Carreteras multicarril,"1,12",Subtotal gran capacidad,"232,81",Subtotal Estado,"369,65",Total 2016,"2.358,06",Subtotal Andalucía,"93,00","1.819,72","3.457,67","23.174,03","507,53","11.956,41","26.394,72","165.482,82"
Andalucía,Almería,2016,Estado,Resto de vías,Carreteras convencionales,"136,84",Subtotal resto de vías,"136,84",Subtotal Estado,"369,65",Total 2016,"2.358,06",Subtotal Andalucía,"1.637,95","1.637,95","3.457,67","23.174,03","14.438,32","14.438,32","26.394,72","165.482,82"
Andalucía,Almería,2016,Comunidades autónomas,Gran capacidad,Autopistas de peaje,"0,00",Subtotal gran capacidad,"116,33",Subtotal comunidades autónomas,"817,41",Total 2016,"2.358,06",Subtotal Andalucía,"0,00","978,57","10.573,76","23.174,03","328,62","4.002,17","71.290,70","165.482,82"
Andalucía,Almería,2016,Comunidades autónomas,Gran capacidad,Autopistas libres y autovías,"112,92",Subtotal gran capacidad,"116,33",Subtotal comunidades autónomas,"817,41",Total 2016,"2.358,06",Subtotal Andalucía,"857,22","978,57","10.573,76","23.174,03","2.907,10","4.002,17","71.290,70","165.482,82"
Andalucía,Almería,2016,Comunidades autónomas,Gran capacidad,Carreteras multicarril,"3,41",Subtotal gran capacidad,"116,33",Subtotal comunidades autónomas,"817,41",Total 2016,"2.358,06",Subtotal Andalucía,"121,35","978,57","10.573,76","23.174,03","766,45","4.002,17","71.290,70","165.482,82"
Andalucía,Almería,2016,Comunidades autónomas,Resto de vías,Carreteras convencionales,"701,08",Subtotal resto de vías,"701,08",Subtotal comunidades autónomas,"817,41",Total 2016,"2.358,06",Subtotal Andalucía,"9.595,19","9.595,19","10.573,76","23.174,03","67.288,53","67.288,53","71.290,70","165.482,82"
Andalucía,Almería,2016,Diputaciones y cabildos,Gran capacidad,Autopistas de peaje,"0,00",Subtotal gran capacidad,"0,00",Subtotal diputaciones y cabildos,"1.171,00",Total 2016,"2.358,06",Subtotal Andalucía,"0,00","14,91","9.142,60","23.174,03","171,43","1.149,83","67.797,40","165.482,82"
Andalucía,Almería,2016,Diputaciones y cabildos,Gran capacidad,Autopistas libres y autovías,"0,00",Subtotal gran capacidad,"0,00",Subtotal diputaciones y cabildos,"1.171,00",Total 2016,"2.358,06",Subtotal Andalucía,"0,00","14,91","9.142,60","23.174,03","587,50","1.149,83","67.797,40","165.482,82"
Andalucía,Almería,2016,Diputaciones y cabildos,Gran capacidad,Carreteras multicarril,"0,00",Subtotal gran capacidad,"0,00",Subtotal diputaciones y cabildos,"1.171,00",Total 2016,"2.358,06",Subtotal Andalucía,"14,91","14,91","9.142,60","23.174,03","390,90","1.149,83","67.797,40","165.482,82"
Andalucía,Almería,2016,Diputaciones y cabildos,Resto de vías,Carreteras convencionales,"1.171,00",Subtotal resto de vías,"1.171,00",Subtotal diputaciones y cabildos,"1.171,00",Total 2016,"2.358,06",Subtotal Andalucía,"9.127,68","9.127,68","9.142,60","23.174,03","66.647,57","66.647,57","67.797,40","165.482,82"
Andalucía,Almería,2017,Estado,Gran capacidad,Autopistas de peaje,"28,19",Subtotal gran capacidad,"232,81",Subtotal Estado,"368,79",Total 2017,"2.355,81",Subtotal Andalucía,"249,03","1.822,14","3.450,38","23.147,34","2.538,76","11.973,76","26.392,56","165.685,55"
Andalucía,Almería,2017,Estado,Gran capacidad,Autopistas libres y autovías,"203,50",Subtotal gran capacidad,"232,81",Subtotal Estado,"368,79",Total 2017,"2.355,81",Subtotal Andalucía,"1.481,72","1.822,14","3.450,38","23.147,34","8.949,45","11.973,76","26.392,56","165.685,55"
Andalucía,Almería,2017,Estado,Gran capacidad,Carreteras multicarril,"1,12",Subtotal gran capacidad,"232,81",Subtotal Estado,"368,79",Total 2017,"2.355,81",Subtotal Andalucía,"91,40","1.822,14","3.450,38","23.147,34","485,55","11.973,76","26.392,56","165.685,55"
Andalucía,Almería,2017,Estado,Resto de vías,Carreteras convencionales,"135,98",Subtotal resto de vías,"135,98",Subtotal Estado,"368,79",Total 2017,"2.355,81",Subtotal Andalucía,"1.628,24","1.628,24","3.450,38","23.147,34","14.418,81","14.418,81","26.392,56","165.685,55"
Andalucía,Almería,2017,Comunidades autónomas,Gran capacidad,Autopistas de peaje,"0,00",Subtotal gran capacidad,"119,83",Subtotal comunidades autónomas,"816,02",Total 2017,"2.355,81",Subtotal Andalucía,"0,00","982,07","10.567,52","23.147,34","328,62","4.015,46","71.325,16","165.685,55"
Andalucía,Almería,2017,Comunidades autónomas,Gran capacidad,Autopistas libres y autovías,"117,42",Subtotal gran capacidad,"119,83",Subtotal comunidades autónomas,"816,02",Total 2017,"2.355,81",Subtotal Andalucía,"879,02","982,07","10.567,52","23.147,34","2.929,26","4.015,46","71.325,16","165.685,55"
Andalucía,Almería,2017,Comunidades autónomas,Gran capacidad,Carreteras multicarril,"2,41",Subtotal gran capacidad,"119,83",Subtotal comunidades autónomas,"816,02",Total 2017,"2.355,81",Subtotal Andalucía,"103,05","982,07","10.567,52","23.147,34","757,58","4.015,46","71.325,16","165.685,55"
Andalucía,Almería,2017,Comunidades autónomas,Resto de vías,Carreteras convencionales,"696,19",Subtotal resto de vías,"696,19",Subtotal comunidades autónomas,"816,02",Total 2017,"2.355,81",Subtotal Andalucía,"9.585,45","9.585,45","10.567,52","23.147,34","67.309,70","67.309,70","71.325,16","165.685,55"
Andalucía,Almería,2017,Diputaciones y cabildos,Gran capacidad,Autopistas de peaje,"0,00",Subtotal gran capacidad,"0,00",Subtotal diputaciones y cabildos,"1.171,00",Total 2017,"2.355,81",Subtotal Andalucía,"0,00","13,81","9.129,45","23.147,34","171,43","1.174,21","67.967,83","165.685,55"
Andalucía,Almería,2017,Diputaciones y cabildos,Gran capacidad,Autopistas libres y autovías,"0,00",Subtotal gran capacidad,"0,00",Subtotal diputaciones y cabildos,"1.171,00",Total 2017,"2.355,81",Subtotal Andalucía,"0,00","13,81","9.129,45","23.147,34","605,61","1.174,21","67.967,83","165.685,55"
Andalucía,Almería,2017,Diputaciones y cabildos,Gran capacidad,Carreteras multicarril,"0,00",Subtotal gran capacidad,"0,00",Subtotal diputaciones y cabildos,"1.171,00",Total 2017,"2.355,81",Subtotal Andalucía,"13,81","13,81","9.129,45","23.147,34","397,17","1.174,21","67.967,83","165.685,55"
Andalucía,Almería,2017,Diputaciones y cabildos,Resto de vías,Carreteras convencionales,"1.171,00",Subtotal resto de vías,"1.171,00",Subtotal diputaciones y cabildos,"1.171,00",Total 2017,"2.355,81",Subtotal Andalucía,"9.115,64","9.115,64","9.129,45","23.147,34","66.793,62","66.793,62","67.967,83","165.685,55"
Andalucía,Almería,2018,Estado,Gran capacidad,Autopistas de peaje,"28,00",Subtotal gran capacidad,"233,00",Subtotal Estado,"369,00",Total 2018,"2.411,02",Subtotal Andalucía,"249,00","1.839,00","3.463,00","23.211,68","2.457,00","12.018,00","26.403,00","165.624,06"
Andalucía,Almería,2018,Estado,Gran capacidad,Autopistas libres y autovías,"204,00",Subtotal gran capacidad,"233,00",Subtotal Estado,"369,00",Total 2018,"2.411,02",Subtotal Andalucía,"1.498,00","1.839,00","3.463,00","23.211,68","9.076,00","12.018,00","26.403,00","165.624,06"
Andalucía,Almería,2018,Estado,Gran capacidad,Carreteras multicarril,"1,00",Subtotal gran capacidad,"233,00",Subtotal Estado,"369,00",Total 2018,"2.411,02",Subtotal Andalucía,"92,00","1.839,00","3.463,00","23.211,68","485,00","12.018,00","26.403,00","165.624,06"
Andalucía,Almería,2018,Estado,Resto de vías,Carreteras convencionales,"136,00",Subtotal resto de vías,"136,00",Subtotal Estado,"369,00",Total 2018,"2.411,02",Subtotal Andalucía,"1.624,00","1.624,00","3.463,00","23.211,68","14.385,00","14.385,00","26.403,00","165.624,06"
Andalucía,Almería,2018,Comunidades autónomas,Gran capacidad,Autopistas de peaje,"0,00",Subtotal gran capacidad,"119,83",Subtotal comunidades autónomas,"816,02",Total 2018,"2.411,02",Subtotal Andalucía,"0,00","982,07","10.561,32","23.211,68","328,62","4.016,80","71.312,90","165.624,06"
Andalucía,Almería,2018,Comunidades autónomas,Gran capacidad,Autopistas libres y autovías,"117,42",Subtotal gran capacidad,"119,83",Subtotal comunidades autónomas,"816,02",Total 2018,"2.411,02",Subtotal Andalucía,"879,02","982,07","10.561,32","23.211,68","2.932,75","4.016,80","71.312,90","165.624,06"
Andalucía,Almería,2018,Comunidades autónomas,Gran capacidad,Carreteras multicarril,"2,41",Subtotal gran capacidad,"119,83",Subtotal comunidades autónomas,"816,02",Total 2018,"2.411,02",Subtotal Andalucía,"103,05","982,07","10.561,32","23.211,68","755,44","4.016,80","71.312,90","165.624,06"
Andalucía,Almería,2018,Comunidades autónomas,Resto de vías,Carreteras convencionales,"696,19",Subtotal resto de vías,"696,19",Subtotal comunidades autónomas,"816,02",Total 2018,"2.411,02",Subtotal Andalucía,"9.579,25","9.579,25","10.561,32","23.211,68","67.296,10","67.296,10","71.312,90","165.624,06"
Andalucía,Almería,2018,Diputaciones y cabildos,Gran capacidad,Autopistas de peaje,"0,00",Subtotal gran capacidad,"0,00",Subtotal diputaciones y cabildos,"1.226,00",Total 2018,"2.411,02",Subtotal Andalucía,"0,00","19,90","9.187,35","23.211,68","171,42","1.193,43","67.908,16","165.624,06"
Andalucía,Almería,2018,Diputaciones y cabildos,Gran capacidad,Autopistas libres y autovías,"0,00",Subtotal gran capacidad,"0,00",Subtotal diputaciones y cabildos,"1.226,00",Total 2018,"2.411,02",Subtotal Andalucía,"0,00","19,90","9.187,35","23.211,68","617,17","1.193,43","67.908,16","165.624,06"
Andalucía,Almería,2018,Diputaciones y cabildos,Gran capacidad,Carreteras multicarril,"0,00",Subtotal gran capacidad,"0,00",Subtotal diputaciones y cabildos,"1.226,00",Total 2018,"2.411,02",Subtotal Andalucía,"19,90","19,90","9.187,35","23.211,68","404,84","1.193,43","67.908,16","165.624,06"
Andalucía,Almería,2018,Diputaciones y cabildos,Resto de vías,Carreteras convencionales,"1.226,00",Subtotal resto de vías,"1.226,00",Subtotal diputaciones y cabildos,"1.226,00",Total 2018,"2.411,02",Subtotal Andalucía,"9.167,46","9.167,46","9.187,35","23.211,68","66.714,73","66.714,73","67.908,16","165.624,06"
Andalucía,Almería,2019,Estado,Gran capacidad,Autopistas de peaje,"28,19",Subtotal gran capacidad,"232,81",Subtotal Estado,"366,73",Total 2019,"2.409,88",Subtotal Andalucía,"251,20","1.861,07","3.511,51","23.265,14","2.379,83","12.034,70","26.466,34","165.469,50"
Andalucía,Almería,2019,Estado,Gran capacidad,Autopistas libres y autovías,"203,50",Subtotal gran capacidad,"232,81",Subtotal Estado,"366,73",Total 2019,"2.409,88",Subtotal Andalucía,"1.520,35","1.861,07","3.511,51","23.265,14","9.167,12","12.034,70","26.466,34","165.469,50"
Andalucía,Almería,2019,Estado,Gran capacidad,Carreteras multicarril,"1,12",Subtotal gran capacidad,"232,81",Subtotal Estado,"366,73",Total 2019,"2.409,88",Subtotal Andalucía,"89,53","1.861,07","3.511,51","23.265,14","487,76","12.034,70","26.466,34","165.469,50"
Andalucía,Almería,2019,Estado,Resto de vías,Carreteras convencionales,"133,92",Subtotal resto de vías,"133,92",Subtotal Estado,"366,73",Total 2019,"2.409,88",Subtotal Andalucía,"1.650,44","1.650,44","3.511,51","23.265,14","14.431,63","14.431,63","26.466,34","165.469,50"
Andalucía,Almería,2019,Comunidades autónomas,Gran capacidad,Autopistas de peaje,"0,00",Subtotal gran capacidad,"119,83",Subtotal comunidades autónomas,"817,15",Total 2019,"2.409,88",Subtotal Andalucía,"0,00","987,96","10.573,51","23.265,14","368,34","4.076,46","71.210,46","165.469,50"
Andalucía,Almería,2019,Comunidades autónomas,Gran capacidad,Autopistas libres y autovías,"117,42",Subtotal gran capacidad,"119,83",Subtotal comunidades autónomas,"817,15",Total 2019,"2.409,88",Subtotal Andalucía,"879,02","987,96","10.573,51","23.265,14","2.937,83","4.076,46","71.210,46","165.469,50"
Andalucía,Almería,2019,Comunidades autónomas,Gran capacidad,Carreteras multicarril,"2,41",Subtotal gran capacidad,"119,83",Subtotal comunidades autónomas,"817,15",Total 2019,"2.409,88",Subtotal Andalucía,"108,93","987,96","10.573,51","23.265,14","770,29","4.076,46","71.210,46","165.469,50"
Andalucía,Almería,2019,Comunidades autónomas,Resto de vías,Carreteras convencionales,"697,32",Subtotal resto de vías,"697,32",Subtotal comunidades autónomas,"817,15",Total 2019,"2.409,88",Subtotal Andalucía,"9.585,55","9.585,55","10.573,51","23.265,14","67.134,00","67.134,00","71.210,46","165.469,50"
