Provincias;Edad (grupos quinquenales);Españoles/Extranjeros;Sexo;Año;Total
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2022;2.416.033
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2021;2.382.448
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2020;2.360.667
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2019;2.305.303
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2018;2.288.096
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2017;2.293.337
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2016;2.316.981
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2015;2.354.598
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2014;2.409.523
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2013;2.476.109
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2012;2.538.898
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2011;2.611.257
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2010;2.695.223
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2009;2.785.825
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2008;2.839.138
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2007;2.854.845
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2006;2.936.593
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2005;3.031.633
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2004;3.093.882
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2003;3.202.594
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2002;3.249.598
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2001;3.288.805
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2000;3.310.735
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;1999;3.354.877
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;1998;3.353.725
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2022;2.525.639
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2021;2.548.736
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2020;2.583.973
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2019;2.566.361
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2018;2.557.214
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2017;2.567.258
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2016;2.616.684
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2015;2.695.630
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2014;2.808.721
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2013;2.953.136
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2012;3.115.511
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2011;3.274.267
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2010;3.444.435
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2009;3.601.767
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2008;3.714.625
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2007;3.736.671
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2006;3.817.716
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2005;3.842.364
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2004;3.787.336
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2003;3.739.772
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2002;3.626.324
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2001;3.493.759
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2000;3.375.782
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;1999;3.284.084
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;1998;3.255.862
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2022;2.751.935
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2021;2.786.314
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2020;2.839.403
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2019;2.860.390
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2018;2.909.061
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2017;3.012.895
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2016;3.154.713
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2015;3.328.153
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2014;3.520.289
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2013;3.746.504
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2012;3.924.173
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2011;4.059.412
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2010;4.143.573
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2009;4.190.045
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2008;4.136.460
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2007;4.022.221
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2006;3.947.739
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2005;3.850.837
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2004;3.707.232
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2003;3.631.764
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2002;3.515.143
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2001;3.405.724
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2000;3.321.008
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;1999;3.264.850
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;1998;3.245.232
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2022;3.132.328
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2021;3.250.538
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2020;3.391.000
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2019;3.492.600
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2018;3.624.705
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2017;3.754.948
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2016;3.888.273
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2015;3.989.889
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2014;4.077.813
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2013;4.125.053
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2012;4.136.270
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2011;4.095.793
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2010;4.046.119
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2009;3.987.219
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2008;3.914.570
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2007;3.806.556
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2006;3.748.977
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2005;3.682.374
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2004;3.603.286
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2003;3.543.043
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2002;3.415.251
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2001;3.291.772
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2000;3.192.124
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;1999;3.085.977
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;1998;3.024.704
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2022;3.816.395
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2021;3.923.707
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2020;3.996.212
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2019;4.013.566
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2018;3.992.655
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2017;3.973.640
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2016;3.941.053
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2015;3.909.699
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2014;3.885.075
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2013;3.891.290
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2012;3.885.959
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2011;3.853.445
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2010;3.819.461
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2009;3.799.492
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2008;3.728.828
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2007;3.606.689
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2006;3.524.506
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2005;3.443.083
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2004;3.309.804
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2003;3.231.439
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2002;3.130.560
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2001;3.013.529
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2000;2.884.950
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;1999;2.772.113
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;1998;2.674.025
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2022;3.997.182
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2021;3.945.845
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2020;3.895.525
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2019;3.818.921
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2018;3.768.313
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2017;3.740.547
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2016;3.716.166
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2015;3.699.662
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2014;3.706.753
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2013;3.696.951
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2012;3.643.293
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2011;3.580.521
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2010;3.523.150
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2009;3.434.704
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2008;3.353.450
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2007;3.259.587
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2006;3.167.423
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2005;3.046.559
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2004;2.903.980
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2003;2.801.243
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2002;2.690.755
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2001;2.593.676
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;2000;2.511.877
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;1999;2.492.883
TOTAL ESPAÑA;45-49 años;TOTAL;Ambos sexos;1998;2.483.115
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2022;3.739.679
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2021;3.699.275
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2020;3.668.449
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2019;3.637.840
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2018;3.586.094
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2017;3.517.607
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2016;3.459.524
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2015;3.412.600
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2014;3.343.247
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2013;3.309.343
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2012;3.267.701
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2011;3.191.434
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2010;3.088.530
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2009;2.976.008
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2008;2.870.373
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2007;2.762.877
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2006;2.680.316
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2005;2.601.811
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2004;2.556.084
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2003;2.553.834
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2002;2.490.175
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2001;2.449.081
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;2000;2.446.733
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;1999;2.417.520
TOTAL ESPAÑA;50-54 años;TOTAL;Ambos sexos;1998;2.333.650
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2022;3.493.035
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2021;3.422.655
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2020;3.364.857
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2019;3.266.949
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2018;3.196.535
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2017;3.142.339
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2016;3.069.211
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2015;2.979.243
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2014;2.884.552
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2013;2.816.529
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2012;2.747.759
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2011;2.677.814
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2010;2.611.876
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2009;2.588.971
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2008;2.584.456
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2007;2.527.275
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2006;2.495.236
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2005;2.491.301
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2004;2.436.629
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2003;2.368.915
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2002;2.271.441
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2001;2.172.174
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;2000;2.137.750
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;1999;1.991.834
TOTAL ESPAÑA;55-59 años;TOTAL;Ambos sexos;1998;1.870.903
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2022;3.088.533
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2021;3.007.236
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2020;2.912.674
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2019;2.799.111
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2018;2.703.945
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2017;2.625.861
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2016;2.561.966
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2015;2.505.943
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2014;2.495.243
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2013;2.522.054
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2012;2.493.288
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2011;2.470.911
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2010;2.477.732
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2009;2.441.811
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2008;2.372.604
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2007;2.280.481
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2006;2.185.427
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2005;2.149.725
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2004;1.983.386
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2003;1.879.974
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2002;1.868.006
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2001;1.939.712
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;2000;1.909.525
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;1999;2.047.961
TOTAL ESPAÑA;60-64 años;TOTAL;Ambos sexos;1998;2.132.725
02 Albacete;20-24 años;TOTAL;Ambos sexos;2022;21.119
02 Albacete;20-24 años;TOTAL;Ambos sexos;2021;21.121
02 Albacete;20-24 años;TOTAL;Ambos sexos;2020;21.210
02 Albacete;20-24 años;TOTAL;Ambos sexos;2019;21.106
02 Albacete;20-24 años;TOTAL;Ambos sexos;2018;21.079
02 Albacete;20-24 años;TOTAL;Ambos sexos;2017;21.591
02 Albacete;20-24 años;TOTAL;Ambos sexos;2016;22.170
02 Albacete;20-24 años;TOTAL;Ambos sexos;2015;22.891
02 Albacete;20-24 años;TOTAL;Ambos sexos;2014;23.571
02 Albacete;20-24 años;TOTAL;Ambos sexos;2013;24.340
02 Albacete;20-24 años;TOTAL;Ambos sexos;2012;25.033
02 Albacete;20-24 años;TOTAL;Ambos sexos;2011;25.335
02 Albacete;20-24 años;TOTAL;Ambos sexos;2010;25.630
02 Albacete;20-24 años;TOTAL;Ambos sexos;2009;26.142
02 Albacete;20-24 años;TOTAL;Ambos sexos;2008;26.567
02 Albacete;20-24 años;TOTAL;Ambos sexos;2007;26.412
02 Albacete;20-24 años;TOTAL;Ambos sexos;2006;26.732
02 Albacete;20-24 años;TOTAL;Ambos sexos;2005;27.194
02 Albacete;20-24 años;TOTAL;Ambos sexos;2004;27.488
02 Albacete;20-24 años;TOTAL;Ambos sexos;2003;28.422
02 Albacete;20-24 años;TOTAL;Ambos sexos;2002;28.574
02 Albacete;20-24 años;TOTAL;Ambos sexos;2001;28.816
02 Albacete;20-24 años;TOTAL;Ambos sexos;2000;28.972
02 Albacete;20-24 años;TOTAL;Ambos sexos;1999;29.219
02 Albacete;20-24 años;TOTAL;Ambos sexos;1998;29.101
02 Albacete;25-29 años;TOTAL;Ambos sexos;2022;21.179
02 Albacete;25-29 años;TOTAL;Ambos sexos;2021;21.525
02 Albacete;25-29 años;TOTAL;Ambos sexos;2020;21.974
02 Albacete;25-29 años;TOTAL;Ambos sexos;2019;22.268
02 Albacete;25-29 años;TOTAL;Ambos sexos;2018;22.659
02 Albacete;25-29 años;TOTAL;Ambos sexos;2017;23.205
02 Albacete;25-29 años;TOTAL;Ambos sexos;2016;23.694
02 Albacete;25-29 años;TOTAL;Ambos sexos;2015;24.119
02 Albacete;25-29 años;TOTAL;Ambos sexos;2014;24.862
02 Albacete;25-29 años;TOTAL;Ambos sexos;2013;25.993
02 Albacete;25-29 años;TOTAL;Ambos sexos;2012;27.116
02 Albacete;25-29 años;TOTAL;Ambos sexos;2011;27.991
02 Albacete;25-29 años;TOTAL;Ambos sexos;2010;29.076
02 Albacete;25-29 años;TOTAL;Ambos sexos;2009;30.238
02 Albacete;25-29 años;TOTAL;Ambos sexos;2008;31.241
02 Albacete;25-29 años;TOTAL;Ambos sexos;2007;31.229
02 Albacete;25-29 años;TOTAL;Ambos sexos;2006;31.469
02 Albacete;25-29 años;TOTAL;Ambos sexos;2005;31.877
02 Albacete;25-29 años;TOTAL;Ambos sexos;2004;31.565
02 Albacete;25-29 años;TOTAL;Ambos sexos;2003;31.002
02 Albacete;25-29 años;TOTAL;Ambos sexos;2002;30.630
02 Albacete;25-29 años;TOTAL;Ambos sexos;2001;29.616
02 Albacete;25-29 años;TOTAL;Ambos sexos;2000;29.078
02 Albacete;25-29 años;TOTAL;Ambos sexos;1999;28.919
02 Albacete;25-29 años;TOTAL;Ambos sexos;1998;29.101
02 Albacete;30-34 años;TOTAL;Ambos sexos;2022;22.480
02 Albacete;30-34 años;TOTAL;Ambos sexos;2021;22.817
02 Albacete;30-34 años;TOTAL;Ambos sexos;2020;22.902
02 Albacete;30-34 años;TOTAL;Ambos sexos;2019;23.209
02 Albacete;30-34 años;TOTAL;Ambos sexos;2018;23.905
02 Albacete;30-34 años;TOTAL;Ambos sexos;2017;24.715
02 Albacete;30-34 años;TOTAL;Ambos sexos;2016;25.798
02 Albacete;30-34 años;TOTAL;Ambos sexos;2015;27.247
02 Albacete;30-34 años;TOTAL;Ambos sexos;2014;28.653
02 Albacete;30-34 años;TOTAL;Ambos sexos;2013;30.338
02 Albacete;30-34 años;TOTAL;Ambos sexos;2012;31.520
02 Albacete;30-34 años;TOTAL;Ambos sexos;2011;32.415
02 Albacete;30-34 años;TOTAL;Ambos sexos;2010;33.088
02 Albacete;30-34 años;TOTAL;Ambos sexos;2009;33.404
02 Albacete;30-34 años;TOTAL;Ambos sexos;2008;32.910
02 Albacete;30-34 años;TOTAL;Ambos sexos;2007;32.341
02 Albacete;30-34 años;TOTAL;Ambos sexos;2006;31.542
02 Albacete;30-34 años;TOTAL;Ambos sexos;2005;31.414
02 Albacete;30-34 años;TOTAL;Ambos sexos;2004;30.949
02 Albacete;30-34 años;TOTAL;Ambos sexos;2003;30.946
02 Albacete;30-34 años;TOTAL;Ambos sexos;2002;30.589
02 Albacete;30-34 años;TOTAL;Ambos sexos;2001;30.200
02 Albacete;30-34 años;TOTAL;Ambos sexos;2000;29.713
02 Albacete;30-34 años;TOTAL;Ambos sexos;1999;29.502
02 Albacete;30-34 años;TOTAL;Ambos sexos;1998;29.438
02 Albacete;35-39 años;TOTAL;Ambos sexos;2022;24.437
02 Albacete;35-39 años;TOTAL;Ambos sexos;2021;25.313
02 Albacete;35-39 años;TOTAL;Ambos sexos;2020;26.162
02 Albacete;35-39 años;TOTAL;Ambos sexos;2019;27.178
02 Albacete;35-39 años;TOTAL;Ambos sexos;2018;28.513
02 Albacete;35-39 años;TOTAL;Ambos sexos;2017;29.505
02 Albacete;35-39 años;TOTAL;Ambos sexos;2016;30.630
02 Albacete;35-39 años;TOTAL;Ambos sexos;2015;31.594
02 Albacete;35-39 años;TOTAL;Ambos sexos;2014;32.221
02 Albacete;35-39 años;TOTAL;Ambos sexos;2013;32.461
02 Albacete;35-39 años;TOTAL;Ambos sexos;2012;32.780
02 Albacete;35-39 años;TOTAL;Ambos sexos;2011;32.404
02 Albacete;35-39 años;TOTAL;Ambos sexos;2010;32.235
02 Albacete;35-39 años;TOTAL;Ambos sexos;2009;32.354
02 Albacete;35-39 años;TOTAL;Ambos sexos;2008;32.359
02 Albacete;35-39 años;TOTAL;Ambos sexos;2007;31.994
02 Albacete;35-39 años;TOTAL;Ambos sexos;2006;31.885
02 Albacete;35-39 años;TOTAL;Ambos sexos;2005;31.844
02 Albacete;35-39 años;TOTAL;Ambos sexos;2004;31.463
02 Albacete;35-39 años;TOTAL;Ambos sexos;2003;31.137
02 Albacete;35-39 años;TOTAL;Ambos sexos;2002;30.416
02 Albacete;35-39 años;TOTAL;Ambos sexos;2001;29.571
02 Albacete;35-39 años;TOTAL;Ambos sexos;2000;28.801
02 Albacete;35-39 años;TOTAL;Ambos sexos;1999;27.893
02 Albacete;35-39 años;TOTAL;Ambos sexos;1998;27.136
02 Albacete;40-44 años;TOTAL;Ambos sexos;2022;29.306
02 Albacete;40-44 años;TOTAL;Ambos sexos;2021;30.188
02 Albacete;40-44 años;TOTAL;Ambos sexos;2020;30.849
02 Albacete;40-44 años;TOTAL;Ambos sexos;2019;31.161
02 Albacete;40-44 años;TOTAL;Ambos sexos;2018;31.121
02 Albacete;40-44 años;TOTAL;Ambos sexos;2017;31.219
02 Albacete;40-44 años;TOTAL;Ambos sexos;2016;31.197
02 Albacete;40-44 años;TOTAL;Ambos sexos;2015;31.258
02 Albacete;40-44 años;TOTAL;Ambos sexos;2014;31.580
02 Albacete;40-44 años;TOTAL;Ambos sexos;2013;32.041
02 Albacete;40-44 años;TOTAL;Ambos sexos;2012;32.326
02 Albacete;40-44 años;TOTAL;Ambos sexos;2011;32.396
02 Albacete;40-44 años;TOTAL;Ambos sexos;2010;32.447
02 Albacete;40-44 años;TOTAL;Ambos sexos;2009;32.562
02 Albacete;40-44 años;TOTAL;Ambos sexos;2008;32.267
02 Albacete;40-44 años;TOTAL;Ambos sexos;2007;31.596
02 Albacete;40-44 años;TOTAL;Ambos sexos;2006;30.955
02 Albacete;40-44 años;TOTAL;Ambos sexos;2005;30.486
02 Albacete;40-44 años;TOTAL;Ambos sexos;2004;29.372
02 Albacete;40-44 años;TOTAL;Ambos sexos;2003;28.363
02 Albacete;40-44 años;TOTAL;Ambos sexos;2002;27.270
02 Albacete;40-44 años;TOTAL;Ambos sexos;2001;25.614
02 Albacete;40-44 años;TOTAL;Ambos sexos;2000;23.746
02 Albacete;40-44 años;TOTAL;Ambos sexos;1999;22.382
02 Albacete;40-44 años;TOTAL;Ambos sexos;1998;21.150
02 Albacete;45-49 años;TOTAL;Ambos sexos;2022;30.986
02 Albacete;45-49 años;TOTAL;Ambos sexos;2021;30.752
02 Albacete;45-49 años;TOTAL;Ambos sexos;2020;30.667
02 Albacete;45-49 años;TOTAL;Ambos sexos;2019;30.693
02 Albacete;45-49 años;TOTAL;Ambos sexos;2018;30.924
02 Albacete;45-49 años;TOTAL;Ambos sexos;2017;31.217
02 Albacete;45-49 años;TOTAL;Ambos sexos;2016;31.456
