year,region,province,population,acc with victims,total injuried,mortals,hosp injuries,minor injuries,gas_stations,free_motorways_CCAA,free_motorways_State,free_motorways_provincial,multiple_road_CCAA,multiple_road_State,multiple_road_provincial,single_road_CCAA,single_road_State,single_road_provincial,toll_motorways_CCAA,toll_motorways_State,toll_motorways_provincial
2013,Castilla y León,Palencia,103626,270,417,15,60,342,57,60.9,193.33,0.0,0.0,0.0,0.0,1472.81,247.01,1034.59,0.0,0.0,0.0
2013,Canarias,"Palmas, Las",737713,698,1095,25,79,991,204,,0.0,98.47,,0.0,76.16,,0.0,1775.76,,0.0,0.0
2013,Galicia,Pontevedra,598275,1694,2711,31,227,2453,168,24.98,80.31,0.0,6.44,6.32,0.0,1229.35,317.3,1686.0,20.98,126.71,0.0
2013,Castilla y León,Salamanca,204996,811,1150,12,87,1051,95,0.0,300.43,0.0,0.0,8.38,0.0,1262.91,264.53,2137.0,0.0,0.0,0.0
2013,Canarias,"Tenerife, S.C.",663674,1653,2310,23,221,2066,207,,0.0,134.06,,0.0,13.0,,0.0,2154.53,,0.0,0.0
2013,Cantabria,Cantabria,374149,815,1269,20,97,1152,130,0.0,226.6,,0.0,2.95,,1994.5,345.33,,0.0,0.0,
2013,Castilla y León,Segovia,97806,309,485,8,54,423,64,64.49,47.04,0.0,6.3,1.86,0.0,703.79,248.69,1233.42,0.0,69.47,0.0
2013,Andalucía,Sevilla,1218610,3617,5492,48,319,5125,360,154.32,232.91,0.0,41.71,21.49,5.6,1678.97,144.28,1520.0,0.0,50.95,0.0
2013,Castilla y León,Soria,54404,119,165,9,26,130,35,0.0,118.69,0.0,0.0,1.85,0.0,905.27,407.52,1881.55,0.0,0.0,0.0
2013,Cataluña,Tarragona,504505,1969,2735,42,233,2460,208,30.39,76.27,0.0,22.55,16.11,6.22,1052.81,284.57,1080.41,10.59,191.13,0.0
2013,Aragón,Teruel,83921,148,217,6,36,175,83,0.0,140.1,0.0,0.0,2.73,0.0,1587.75,530.89,896.0,0.0,0.0,0.0
2013,Castilla-La Mancha,Toledo,437369,884,1348,25,142,1181,266,145.07,382.68,0.0,0.0,12.47,0.0,1935.21,361.54,998.0,0.0,140.27,0.0
2013,C. Valenciana,Valencia,1620455,4378,5958,77,493,5388,519,110.53,292.39,0.0,47.62,49.35,3.5,644.68,385.45,1816.5,0.0,87.78,0.0
2013,Castilla y León,Valladolid,333478,783,1163,22,102,1039,121,40.73,251.62,0.0,0.0,14.29,0.0,1042.7,269.42,1430.17,0.0,0.0,0.0
2013,País Vasco,Vizcaya,719668,1880,2716,22,168,2526,108,,0.0,92.17,,0.0,34.86,,0.0,1106.73,,22.4,54.89
2013,Castilla y León,Zamora,108167,140,212,13,64,135,74,0.0,285.16,0.0,0.0,14.35,0.0,1151.74,423.12,1561.44,0.0,0.0,0.0
2013,Aragón,Zaragoza,607653,1470,2032,40,245,1747,221,5.22,308.17,0.0,8.68,51.51,3.15,2043.36,509.71,1016.75,0.0,107.02,0.0
2013,Ceuta,Ceuta,52354,166,258,1,9,248,9,0.0,0.0,,0.0,1.37,,18.0,17.46,,0.0,0.0,
2013,Melilla,Melilla,51220,407,560,0,21,539,13,0.0,0.0,,0.53,1.02,,16.39,8.89,,0.0,0.0,
2014,País Vasco,Álava,200971,918,1212,5,80,1127,58,,0.0,91.87,,0.0,11.96,,0.0,1283.98,,61.0,14.23
2014,Castilla-La Mancha,Albacete,243938,616,849,23,101,725,150,0.0,281.0,0.0,0.0,0.0,0.0,1612.62,420.0,1408.79,0.0,0.0,0.0
