year,region,province,95,98,A,B
2015,Cataluña,Lérida,2,97,189,73
2015,Cataluña,Tarragona,1,145,217,59
2015,Ceuta,Ceuta,0,9,9,0
2015,C. Valenciana,Alicante,0,288,363,73
2015,C. Valenciana,Castellón,0,104,173,61
2015,C. Valenciana,Valencia,19,360,583,148
2015,Extremadura,Badajoz,4,89,252,124
2015,Extremadura,Cáceres,0,56,126,54
2015,Galicia,"Coruña, A",2,190,245,98
2015,Galicia,Lugo,0,72,112,61
2015,Galicia,Orense,0,77,91,33
2015,Galicia,Pontevedra,0,142,171,29
2015,Madrid,Madrid,29,509,638,36
2015,Melilla,Melilla,2,0,13,0
2015,Murcia,Murcia,3,272,376,127
2015,Navarra,Navarra,0,89,231,119
2015,País Vasco,Guipúzcoa,0,88,115,26
2015,País Vasco,Vizcaya,0,92,112,18
2015,País Vasco,Álava,0,42,58,16
2015,La Rioja,"Rioja, La",0,44,78,34
2016,Andalucía,Almería,2,108,182,65
2016,Andalucía,Cádiz,8,146,235,50
2016,Andalucía,Córdoba,5,96,231,130
2016,Andalucía,Granada,5,163,264,73
2016,Andalucía,Huelva,5,68,136,55
2016,Andalucía,Jaén,5,90,230,162
2016,Andalucía,Málaga,4,201,293,61
2016,Andalucía,Sevilla,9,189,414,119
2016,Aragón,Huesca,1,64,118,59
2016,Aragón,Teruel,0,39,79,83
2016,Aragón,Zaragoza,2,124,243,123
2016,Asturias,Asturias,2,145,210,61
2016,Islas Baleares,Baleares,1,146,187,38
2016,Canarias,"Palmas, Las",0,207,213,0
2016,Canarias,"Tenerife, S.C.",3,215,221,0
2016,Cantabria,Cantabria,0,102,134,33
2016,Castilla-La Mancha,Albacete,1,93,153,61
2016,Castilla-La Mancha,Ciudad Real,6,105,205,112
2016,Castilla-La Mancha,Cuenca,0,51,148,88
2016,Castilla-La Mancha,Guadalajara,1,57,83,18
2016,Castilla-La Mancha,Toledo,3,154,292,141
2016,Castilla y León,Burgos,1,80,129,41
2016,Castilla y León,León,5,102,155,36
2016,Castilla y León,Palencia,0,43,64,23
2016,Castilla y León,Salamanca,0,63,98,30
2016,Castilla y León,Segovia,2,44,67,25
2016,Castilla y León,Soria,0,25,39,14
2016,Castilla y León,Valladolid,0,84,132,36
2016,Castilla y León,Zamora,1,53,80,33
2016,Castilla y León,Ávila,0,44,63,21
2016,Cataluña,Barcelona,21,532,750,40
2016,Cataluña,Gerona,3,174,243,40
2016,Cataluña,Lérida,2,96,187,70
2016,Cataluña,Tarragona,0,149,225,57
2016,Ceuta,Ceuta,0,9,9,0
2016,C. Valenciana,Alicante,2,286,382,73
2016,C. Valenciana,Castellón,1,104,175,63
2016,C. Valenciana,Valencia,25,358,602,153
2016,Extremadura,Badajoz,3,89,256,123
2016,Extremadura,Cáceres,1,53,129,52
2016,Galicia,"Coruña, A",2,189,248,95
2016,Galicia,Lugo,0,71,115,62
2016,Galicia,Orense,0,75,91,31
2016,Galicia,Pontevedra,0,142,174,30
2016,Madrid,Madrid,32,515,667,38
2016,Melilla,Melilla,0,0,13,0
2016,Murcia,Murcia,4,271,398,133
2016,Navarra,Navarra,0,89,235,122
2016,País Vasco,Guipúzcoa,1,87,116,27
2016,País Vasco,Vizcaya,0,88,115,18
2016,País Vasco,Álava,0,42,59,15
2016,La Rioja,"Rioja, La",0,41,78,33
2017,Andalucía,Almería,2,102,184,68
2017,Andalucía,Cádiz,8,141,243,54
2017,Andalucía,Córdoba,8,87,226,123
2017,Andalucía,Granada,3,161,260,74
2017,Andalucía,Huelva,3,68,137,55
2017,Andalucía,Jaén,3,94,243,173
2017,Andalucía,Málaga,8,192,301,62
2017,Andalucía,Sevilla,15,186,425,122
2017,Aragón,Huesca,1,61,118,59
2017,Aragón,Teruel,0,37,81,77
2017,Aragón,Zaragoza,2,122,239,123
2017,Asturias,Asturias,2,144,209,63
2017,Islas Baleares,Baleares,1,146,187,37
2017,Canarias,"Palmas, Las",0,208,216,0
2017,Canarias,"Tenerife, S.C.",3,214,223,0
2017,Cantabria,Cantabria,0,101,137,31
2017,Castilla-La Mancha,Albacete,2,88,153,58
2017,Castilla-La Mancha,Ciudad Real,5,99,204,109
2017,Castilla-La Mancha,Cuenca,1,46,142,82
2017,Castilla-La Mancha,Guadalajara,2,54,80,19
2017,Castilla-La Mancha,Toledo,4,144,284,137
2017,Castilla y León,Burgos,0,79,129,39
2017,Castilla y León,León,4,102,154,35
2017,Castilla y León,Palencia,0,42,66,22
2017,Castilla y León,Salamanca,0,63,101,28
2017,Castilla y León,Segovia,1,43,67,26
2017,Castilla y León,Soria,0,23,36,12
2017,Castilla y León,Valladolid,0,83,136,34
2017,Castilla y León,Zamora,1,47,74,30
2017,Castilla y León,Ávila,0,36,57,18
2017,Cataluña,Barcelona,20,542,753,40
2017,Cataluña,Gerona,3,167,239,41
2017,Cataluña,Lérida,2,96,191,73
2017,Cataluña,Tarragona,0,150,226,59
2017,Ceuta,Ceuta,0,9,9,0
2017,C. Valenciana,Alicante,3,290,398,70
2017,C. Valenciana,Castellón,0,103,173,61
2017,C. Valenciana,Valencia,29,346,598,157
2017,Extremadura,Badajoz,3,85,261,119
2017,Extremadura,Cáceres,2,47,129,48
2017,Galicia,"Coruña, A",3,187,250,96
2017,Galicia,Lugo,0,69,115,59
2017,Galicia,Orense,0,71,86,28
2017,Galicia,Pontevedra,1,138,174,29
2017,Madrid,Madrid,34,508,679,41
2017,Melilla,Melilla,0,0,11,0
2017,Murcia,Murcia,4,262,400,132
2017,Navarra,Navarra,0,83,235,122
2017,País Vasco,Guipúzcoa,0,87,117,28
2017,País Vasco,Vizcaya,0,89,118,17
2017,País Vasco,Álava,0,41,60,17
2017,La Rioja,"Rioja, La",0,41,81,33
2018,Andalucía,Almería,2,103,189,66
2018,Andalucía,Cádiz,10,142,258,53
2018,Andalucía,Córdoba,8,86,232,125
2018,Andalucía,Granada,3,163,271,76
2018,Andalucía,Huelva,3,69,136,53
2018,Andalucía,Jaén,5,92,242,174
2018,Andalucía,Málaga,10,191,306,62
2018,Andalucía,Sevilla,17,185,437,120
2018,Aragón,Huesca,1,60,119,57
2018,Aragón,Teruel,1,38,81,78
2018,Aragón,Zaragoza,1,124,245,125
2018,Asturias,Asturias,2,143,216,66
2018,Islas Baleares,Baleares,1,144,193,38
2018,Canarias,"Palmas, Las",1,217,224,0
2018,Canarias,"Tenerife, S.C.",1,217,225,0
2018,Cantabria,Cantabria,0,103,141,33
2018,Castilla-La Mancha,Albacete,2,89,162,63
2018,Castilla-La Mancha,Ciudad Real,5,98,210,109
2018,Castilla-La Mancha,Cuenca,1,48,155,91
