year,region,province,population
2015,Castilla y León,Zamora,104469
2015,Aragón,Zaragoza,582753
2015,Ceuta,Ceuta,52084
2015,Melilla,Melilla,51898
2016,País Vasco,Álava,197815
2016,Castilla-La Mancha,Albacete,240542
2016,C. Valenciana,Alicante,1122022
2016,Andalucía,Almería,447442
2016,Castilla y León,Ávila,94735
2016,Extremadura,Badajoz,420217
2016,Islas Baleares,Baleares,714190
2016,Cataluña,Barcelona,3400438
2016,Castilla y León,Burgos,216550
2016,Extremadura,Cáceres,244630
2016,Andalucía,Cádiz,780083
2016,C. Valenciana,Castellón,356413
2016,Castilla-La Mancha,Ciudad Real,309114
2016,Andalucía,Córdoba,484384
2016,Galicia,"Coruña, A",678109
2016,Castilla-La Mancha,Cuenca,119179
2016,Cataluña,Gerona,462002
2016,Andalucía,Granada,567730
2016,Castilla-La Mancha,Guadalajara,158003
2016,País Vasco,Guipúzcoa,427135
2016,Andalucía,Huelva,327251
2016,Aragón,Huesca,132236
2016,Andalucía,Jaén,397644
2016,Castilla y León,León,281158
2016,Cataluña,Lérida,265869
2016,La Rioja,"Rioja, La",190887
2016,Galicia,Lugo,195256
2016,Madrid,Madrid,4052330
2016,Andalucía,Málaga,1014732
2016,Murcia,Murcia,904882
2016,Navarra,Navarra,385675
2016,Galicia,Orense,176647
2016,Asturias,Asturias,636386
2016,Castilla y León,Palencia,99473
2016,Canarias,"Palmas, Las",729325
2016,Galicia,Pontevedra,578529
2016,Castilla y León,Salamanca,196233
2016,Canarias,"Tenerife, S.C.",655071
2016,Cantabria,Cantabria,359023
2016,Castilla y León,Segovia,93168
2016,Andalucía,Sevilla,1205416
2016,Castilla y León,Soria,52068
2016,Cataluña,Tarragona,481965
2016,Aragón,Teruel,80459
2016,Castilla-La Mancha,Toledo,419924
2016,C. Valenciana,Valencia,1576345
2016,Castilla y León,Valladolid,318006
2016,País Vasco,Vizcaya,695938
2016,Castilla y León,Zamora,102460
2016,Aragón,Zaragoza,575379
2016,Ceuta,Ceuta,52044
2016,Melilla,Melilla,52059
2017,País Vasco,Álava,197802
2017,Castilla-La Mancha,Albacete,239318
2017,C. Valenciana,Alicante,1112362
2017,Andalucía,Almería,447577
2017,Castilla y León,Ávila,93445
2017,Extremadura,Badajoz,416901
2017,Islas Baleares,Baleares,718442
2017,Cataluña,Barcelona,3410928
2017,Castilla y León,Burgos,213398
2017,Extremadura,Cáceres,242136
2017,Andalucía,Cádiz,776449
2017,C. Valenciana,Castellón,351908
2017,Castilla-La Mancha,Ciudad Real,305832
2017,Andalucía,Córdoba,481826
2017,Galicia,"Coruña, A",672080
2017,Castilla-La Mancha,Cuenca,117791
2017,Cataluña,Gerona,461353
2017,Andalucía,Granada,565403
2017,Castilla-La Mancha,Guadalajara,157912
2017,País Vasco,Guipúzcoa,425339
2017,Andalucía,Huelva,325872
2017,Aragón,Huesca,131149
2017,Andalucía,Jaén,395205
2017,Castilla y León,León,276680
2017,Cataluña,Lérida,263797
2017,La Rioja,"Rioja, La",189708
2017,Galicia,Lugo,192961
2017,Madrid,Madrid,4058324
2017,Andalucía,Málaga,1013318
2017,Murcia,Murcia,905963
2017,Navarra,Navarra,385790
2017,Galicia,Orense,174010
2017,Asturias,Asturias,627081
2017,Castilla y León,Palencia,98368
2017,Canarias,"Palmas, Las",730399
2017,Galicia,Pontevedra,574385
2017,Castilla y León,Salamanca,194075
2017,Canarias,"Tenerife, S.C.",656368
2017,Cantabria,Cantabria,355315
2017,Castilla y León,Segovia,92043
2017,Andalucía,Sevilla,1200688
2017,Castilla y León,Soria,51457
2017,Cataluña,Tarragona,479174
2017,Aragón,Teruel,79438
2017,Castilla-La Mancha,Toledo,417360
2017,C. Valenciana,Valencia,1565681
2017,Castilla y León,Valladolid,313987
2017,País Vasco,Vizcaya,692628
2017,Castilla y León,Zamora,100590
2017,Aragón,Zaragoza,574321
2017,Ceuta,Ceuta,52176
2017,Melilla,Melilla,51919
2018,País Vasco,Álava,197691
2018,Castilla-La Mancha,Albacete,238133
2018,C. Valenciana,Alicante,1115961
2018,Andalucía,Almería,447538
2018,Castilla y León,Ávila,91799
2018,Extremadura,Badajoz,414050
2018,Islas Baleares,Baleares,725987
2018,Cataluña,Barcelona,3423593
2018,Castilla y León,Burgos,211686
2018,Extremadura,Cáceres,239097
2018,Andalucía,Cádiz,772452
2018,C. Valenciana,Castellón,351434
2018,Castilla-La Mancha,Ciudad Real,303225
2018,Andalucía,Córdoba,479117
2018,Galicia,"Coruña, A",666834
2018,Castilla-La Mancha,Cuenca,116785
