year,region,province,acc with victims,total injuried,mortals,hosp injuries,minor injuries
2019,Aragón,Zaragoza,1609,2201,27,201,1973
2020,Aragón,Zaragoza,1169,1543,38,160,1345
2021,Aragón,Zaragoza,1546,2044,28,202,1814
2022,Aragón,Zaragoza,1589,2065,45,210,1810
2013,Asturias,Asturias,2298,3512,46,237,3229
2014,Asturias,Asturias,2262,3331,38,254,3039
2015,Asturias,Asturias,2374,3461,36,230,3195
2016,Asturias,Asturias,2224,3191,35,232,2924
2017,Asturias,Asturias,2312,3234,37,219,2978
2018,Asturias,Asturias,2068,2916,43,204,2669
2019,Asturias,Asturias,1981,2751,31,192,2528
2020,Asturias,Asturias,1552,2044,22,147,1875
2021,Asturias,Asturias,1831,2431,30,160,2241
2022,Asturias,Asturias,1762,2324,34,166,2124
2013,Islas Baleares,Baleares,3431,4767,45,374,4348
2014,Islas Baleares,Baleares,3229,4452,50,340,4062
2015,Islas Baleares,Baleares,3460,4777,53,389,4335
2016,Islas Baleares,Baleares,3821,5336,60,344,4932
2017,Islas Baleares,Baleares,3783,5085,68,389,4628
2018,Islas Baleares,Baleares,3450,4695,53,310,4332
2019,Islas Baleares,Baleares,3356,4462,49,287,4126
2020,Islas Baleares,Baleares,2092,2727,37,197,2493
2021,Islas Baleares,Baleares,2748,3556,47,275,3234
2022,Islas Baleares,Baleares,3078,3987,38,322,3627
2013,Canarias,"Palmas, Las",698,1095,25,79,991
2014,Canarias,"Palmas, Las",1239,1835,31,131,1673
2015,Canarias,"Palmas, Las",1472,2138,22,145,1971
2016,Canarias,"Palmas, Las",1314,1978,40,130,1808
2017,Canarias,"Palmas, Las",1302,2031,30,115,1886
2018,Canarias,"Palmas, Las",1272,1959,39,95,1825
2019,Canarias,"Palmas, Las",2158,3129,32,99,2998
2020,Canarias,"Palmas, Las",1790,2462,22,93,2347
2021,Canarias,"Palmas, Las",1971,2600,25,112,2463
2022,Canarias,"Palmas, Las",2068,2783,31,140,2612
2013,Canarias,"Tenerife, S.C.",1653,2310,23,221,2066
2014,Canarias,"Tenerife, S.C.",1812,2547,26,231,2290
2015,Canarias,"Tenerife, S.C.",1797,2593,40,202,2351
2016,Canarias,"Tenerife, S.C.",2257,3277,31,261,2985
2017,Canarias,"Tenerife, S.C.",2216,3169,37,298,2834
2018,Canarias,"Tenerife, S.C.",2167,3069,29,306,2734
2019,Canarias,"Tenerife, S.C.",2242,3091,42,339,2710
2020,Canarias,"Tenerife, S.C.",1669,2253,28,264,1961
2021,Canarias,"Tenerife, S.C.",1994,2796,35,248,2513
2022,Canarias,"Tenerife, S.C.",2137,2946,37,274,2635
2013,Cantabria,Cantabria,815,1269,20,97,1152
2014,Cantabria,Cantabria,745,1132,18,56,1058
2015,Cantabria,Cantabria,703,1065,22,57,986
2016,Cantabria,Cantabria,710,1089,21,67,1001
2017,Cantabria,Cantabria,714,1039,22,68,949
2018,Cantabria,Cantabria,628,994,23,62,909
2019,Cantabria,Cantabria,920,1350,18,77,1255
2020,Cantabria,Cantabria,830,1112,16,81,1015
2021,Cantabria,Cantabria,974,1318,15,116,1187
2022,Cantabria,Cantabria,1009,1369,21,113,1235
2013,Castilla-La Mancha,Albacete,481,680,19,87,574
2014,Castilla-La Mancha,Albacete,616,849,23,101,725
2015,Castilla-La Mancha,Albacete,605,837,22,83,732
2016,Castilla-La Mancha,Albacete,690,952,24,95,833
2017,Castilla-La Mancha,Albacete,711,959,16,99,844
2018,Castilla-La Mancha,Albacete,708,947,11,90,846
2019,Castilla-La Mancha,Albacete,702,917,28,103,786
2020,Castilla-La Mancha,Albacete,557,704,10,51,643
2021,Castilla-La Mancha,Albacete,732,1002,11,78,913
2022,Castilla-La Mancha,Albacete,650,849,13,83,753
2013,Castilla-La Mancha,Ciudad Real,586,937,38,93,806
2014,Castilla-La Mancha,Ciudad Real,635,992,19,79,894
2015,Castilla-La Mancha,Ciudad Real,640,952,27,61,864
2016,Castilla-La Mancha,Ciudad Real,675,1026,30,77,919
2017,Castilla-La Mancha,Ciudad Real,563,813,33,63,717
2018,Castilla-La Mancha,Ciudad Real,500,759,25,46,688
2019,Castilla-La Mancha,Ciudad Real,463,667,22,35,610
