year,region,province,owner,free_motorways,multiple_road,single_road,toll_motorways
2013,Castilla-La Mancha,Cuenca,provincial,0,0,"1.557,20",0
2013,Castilla-La Mancha,Guadalajara,CCAA,"9,26",0,0,0
2013,Castilla-La Mancha,Guadalajara,CCAA,0,0,"1.454,59",0
2013,Castilla-La Mancha,Guadalajara,State,"99,67","0,69",0,"24,02"
2013,Castilla-La Mancha,Guadalajara,State,0,0,"291,78",0
2013,Castilla-La Mancha,Guadalajara,provincial,0,0,"1.568,00",0
2013,Castilla-La Mancha,Toledo,CCAA,"145,07",0,0,0
2013,Castilla-La Mancha,Toledo,CCAA,0,0,"1.935,21",0
2013,Castilla-La Mancha,Toledo,State,"382,68","12,47",0,"140,27"
2013,Castilla-La Mancha,Toledo,State,0,0,"361,54",0
2013,Castilla-La Mancha,Toledo,provincial,0,0,"998,00",0
2013,Castilla y León,Burgos,CCAA,"46,75","5,90",0,0
2013,Castilla y León,Burgos,CCAA,0,0,"1.775,53",0
2013,Castilla y León,Burgos,State,"179,52","15,31",0,"76,29"
2013,Castilla y León,Burgos,State,0,0,"663,66",0
2013,Castilla y León,Burgos,provincial,0,0,"2.289,44",0
2013,Castilla y León,León,CCAA,"68,40","5,30",0,0
2013,Castilla y León,León,CCAA,0,0,"1.706,47",0
2013,Castilla y León,León,State,"231,66","21,60",0,"93,68"
2013,Castilla y León,León,State,0,0,"588,61",0
2013,Castilla y León,León,provincial,0,0,"3.310,32",0
2013,Castilla y León,Palencia,CCAA,"60,90",0,0,0
2013,Castilla y León,Palencia,CCAA,0,0,"1.472,81",0
2013,Castilla y León,Palencia,State,"193,33","0,00",0,"0,00"
2013,Castilla y León,Palencia,State,0,0,"247,01",0
2013,Castilla y León,Palencia,provincial,0,0,"1.034,59",0
2013,Castilla y León,Salamanca,CCAA,0,0,"1.262,91",0
2013,Castilla y León,Salamanca,State,"300,43","8,38",0,"0,00"
2013,Castilla y León,Salamanca,State,0,0,"264,53",0
2013,Castilla y León,Salamanca,provincial,0,0,"2.137,00",0
2013,Castilla y León,Segovia,CCAA,"64,49","6,30",0,0
2013,Castilla y León,Segovia,CCAA,0,0,"703,79",0
2013,Castilla y León,Segovia,State,"47,04","1,86",0,"69,47"
2013,Castilla y León,Segovia,State,0,0,"248,69",0
2013,Castilla y León,Segovia,provincial,0,0,"1.233,42",0
2013,Castilla y León,Soria,CCAA,0,0,"905,27",0
