year,region,province,population
2000,Castilla y León,Zamora,113435
2000,Aragón,Zaragoza,522292
2000,Ceuta,Ceuta,46146
2000,Melilla,Melilla,40054
2001,País Vasco,Álava,191390
2001,Castilla-La Mancha,Albacete,216461
2001,C. Valenciana,Alicante,919689
2001,Andalucía,Almería,326046
2001,Castilla y León,Ávila,93206
2001,Extremadura,Badajoz,384766
2001,Islas Baleares,Baleares,563763
2001,Cataluña,Barcelona,3066994
2001,Castilla y León,Burgos,212894
2001,Extremadura,Cáceres,237909
2001,Andalucía,Cádiz,703661
2001,C. Valenciana,Castellón,300203
2001,Castilla-La Mancha,Ciudad Real,273881
2001,Andalucía,Córdoba,453744
2001,Galicia,"Coruña, A",695370
2001,Castilla-La Mancha,Cuenca,111674
2001,Cataluña,Gerona,359554
2001,Andalucía,Granada,490209
2001,Castilla-La Mancha,Guadalajara,101363
2001,País Vasco,Guipúzcoa,440228
2001,Andalucía,Huelva,281089
2001,Aragón,Huesca,120244
2001,Andalucía,Jaén,371363
2001,Castilla y León,León,293628
2001,Cataluña,Lérida,219301
2001,La Rioja,"Rioja, La",167232
2001,Galicia,Lugo,207579
2001,Madrid,Madrid,3511555
2001,Andalucía,Málaga,809227
2001,Murcia,Murcia,731292
2001,Navarra,Navarra,350649
2001,Galicia,Orense,196044
2001,Asturias,Asturias,672221
2001,Castilla y León,Palencia,105380
2001,Canarias,"Palmas, Las",607263
2001,Galicia,Pontevedra,576063
2001,Castilla y León,Salamanca,207040
2001,Canarias,"Tenerife, S.C.",554254
2001,Cantabria,Cantabria,336441
2001,Castilla y León,Segovia,85310
2001,Andalucía,Sevilla,1081691
2001,Castilla y León,Soria,51273
2001,Cataluña,Tarragona,379827
2001,Aragón,Teruel,74689
2001,Castilla-La Mancha,Toledo,312342
2001,C. Valenciana,Valencia,1411854
2001,Castilla y León,Valladolid,322221
2001,País Vasco,Vizcaya,735083
2001,Castilla y León,Zamora,112892
2001,Aragón,Zaragoza,531943
2001,Ceuta,Ceuta,46854
2001,Melilla,Melilla,41384
2002,País Vasco,Álava,193896
2002,Castilla-La Mancha,Albacete,220728
2002,C. Valenciana,Alicante,970907
2002,Andalucía,Almería,336602
2002,Castilla y León,Ávila,93702
2002,Extremadura,Badajoz,385387
2002,Islas Baleares,Baleares,594808
2002,Cataluña,Barcelona,3144227
2002,Castilla y León,Burgos,215556
2002,Extremadura,Cáceres,239550
2002,Andalucía,Cádiz,715431
2002,C. Valenciana,Castellón,314145
2002,Castilla-La Mancha,Ciudad Real,278873
2002,Andalucía,Córdoba,456223
2002,Galicia,"Coruña, A",698560
2002,Castilla-La Mancha,Cuenca,112495
2002,Cataluña,Gerona,373671
2002,Andalucía,Granada,497371
2002,Castilla-La Mancha,Guadalajara,106297
2002,País Vasco,Guipúzcoa,442303
2002,Andalucía,Huelva,285681
2002,Aragón,Huesca,122801
2002,Andalucía,Jaén,373664
2002,Castilla y León,León,292696
2002,Cataluña,Lérida,224627
2002,La Rioja,"Rioja, La",175586
2002,Galicia,Lugo,206813
2002,Madrid,Madrid,3639350
2002,Andalucía,Málaga,832596
2002,Murcia,Murcia,760725
2002,Navarra,Navarra,360600
2002,Galicia,Orense,195716
2002,Asturias,Asturias,673324
2002,Castilla y León,Palencia,105214
2002,Canarias,"Palmas, Las",628764
2002,Galicia,Pontevedra,581271
2002,Castilla y León,Salamanca,205915
2002,Canarias,"Tenerife, S.C.",580801
2002,Cantabria,Cantabria,342076
2002,Castilla y León,Segovia,87066
2002,Andalucía,Sevilla,1094968
2002,Castilla y León,Soria,51579
2002,Cataluña,Tarragona,394516
2002,Aragón,Teruel,76029
2002,Castilla-La Mancha,Toledo,321467
2002,C. Valenciana,Valencia,1448473
2002,Castilla y León,Valladolid,325737
2002,País Vasco,Vizcaya,735211
2002,Castilla y León,Zamora,111873
2002,Aragón,Zaragoza,542427
2002,Ceuta,Ceuta,47350
2002,Melilla,Melilla,41604
2003,País Vasco,Álava,196100
2003,Castilla-La Mancha,Albacete,224796
2003,C. Valenciana,Alicante,1023633
2003,Andalucía,Almería,351581
2003,Castilla y León,Ávila,94412
2003,Extremadura,Badajoz,387764
2003,Islas Baleares,Baleares,618928
2003,Cataluña,Barcelona,3255768
2003,Castilla y León,Burgos,217904
2003,Extremadura,Cáceres,240461
2003,Andalucía,Cádiz,729219
2003,C. Valenciana,Castellón,327031
2003,Castilla-La Mancha,Ciudad Real,282640
2003,Andalucía,Córdoba,461778
2003,Galicia,"Coruña, A",707287
2003,Castilla-La Mancha,Cuenca,113787
